program_name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Gene %	Lead_genes	tag_before	tag_after
0	EFO_0010934	0.9478813694382512	1.2913035396518355	0.001	0.04900022477167326	0.048	2.62	RP1;MECOM;ARHGAP29;RGL1;AUTS2;ATP8B1	6	23
0	EFO_0005128	0.9355205289349698	1.265217911850693	0.005	0.07000032110239038	0.124	4.84	RASGRP3;BMP2K;ETS1;BCL2;C9;CXCR4	6	16
0	EFO_0001645	0.9137168141592922	1.2516298435559476	0.001	0.08133370642372977	0.201	8.77	ARHGAP26;NCALD;PHACTR1;FARP1;COL4A1;CDH13;PLPP3;JCAD;GDPD5;COL4A2	10	27
0	EFO_0003761, EFO_0004247	0.8873419266310656	1.2010172088483413	0.018	0.10000045871770052	0.658	7.85	MEF2C;DCC;PLCL2;STAG1;SOX6	5	20
0	EFO_0004337, EFO_0004784	0.8815268700230405	1.2029184765639143	0.012	0.10133379816726987	0.635	2.95	MEF2C;PLCL1;DCC;NPAS2;FOXP1;PLCL2	6	24
0	EFO_0007778	0.9120096651619729	1.2365867330261087	0.011	0.10200046789205455	0.312	8.66	ARL15;AUTS2;LRMDA;TSPAN9;AHR;DNAJC1	6	18
0	EFO_0000612	0.8794088532709506	1.203053199237587	0.012	0.11018232360532094	0.635	8.77	PHACTR1;COL4A1;PLPP3;JCAD;PDLIM5;COL4A2	6	24
0	EFO_0010100	0.9077892171456079	1.2166088405949722	0.02	0.11185765596565644	0.505	7.85	SOX5;SETBP1;DCC;MAML3;FOXP2;SOX6	6	15
0	EFO_0003761	0.9038967102579195	1.2123035303983587	0.025025025025025027	0.11337552007119298	0.538	6.77	MEF2C;SOX5;DCC;GRM5;ROBO1	5	15
0	EFO_0002690	0.8753981763025472	1.2085586638683115	0.008	0.11377829969658373	0.576	9.45	RASGRP3;PLCL1;ETS1;FCHSD2;SPRED2;LBH;ST8SIA4;ELF1;IPCEF1	9	27
0	EFO_0000341	0.8652387209246638	1.1919179884844213	0.009	0.114200523855614	0.751	7.65	MECOM;CHRM3;ITGA1;LRMDA;COL15A1;ADAM19;RIN3;GNA12	8	29
0	EFO_0004568	0.882853089425817	1.2263494979347704	0.001	0.11440052477304942	0.399	4.84	ARHGAP29;ITGA1;LPP;ETS1;BCL2;PIP4K2A;TCF7L1;COL4A1;CXCR4	9	36
0	EFO_0005140	0.8825239582138055	1.1935658083647294	0.02	0.1157862454152804	0.731	4.27	VAV3;LPP;ARHGAP31;ELMO1;SASH1	5	18
0	MONDO_0005090	0.8192643778291282	1.1144433435354852	0.113	0.11581361536726589	1.0	8.13	ZSWIM6;PPP1R16B;SDCCAG8;STAG1;GRIN2A;MSRA;RGS6	7	21
0	MONDO_0021661	0.9126034958601655	1.2208802160962893	0.011	0.11583386468133645	0.466	8.77	LIMCH1;PHACTR1;COL4A2	3	16
0	EFO_0000319	0.7892557964525742	1.1147714345034934	0.016	0.11600053211253263	1.0	12.92	ARL15;MECOM;PLEKHG1;SIPA1L2;PREX1;SETBP1;INSR;NCALD;FGD5;ZFPM2;COL4A1;PLPP3;FOXC1;RORA;UBASH3B;CMIP;SOX6;ADCY9;CPEB2;NDUFAF6;HIVEP3;WNT2B	22	76
0	EFO_0007978	0.7826593123631248	1.1121553093312773	0.003	0.11672374971575884	1.0	8.59	STARD13;MECOM;MEF2C;ERG;NFIB;ITGA1;PREX1;KLF7;LRMDA;FOXO1;MAP4K3;MBNL1;ATP8B1;FOXP1;PLCL2;AGAP1;SSH2;FGD5;SPRED2;ZFPM2;KLF12;TSPAN9;ATP11A;ETV6;MEIS1;ZEB2;RORA;GMDS;CTDSPL;SOX6;L3MBTL3;RAD51B	32	133
0	EFO_0004784	0.782661248065495	1.12231620618996	0.0	0.11708008251914416	1.0	13.52	LDB2;KIAA1217;MECOM;ZSWIM6;MAST4;CSGALNACT1;MEF2C;GALNT18;PLCL1;NFIB;SOX5;GRB10;MAGI1;AUTS2;RPS6KA2;DCC;NPAS2;FOXP1;FBXL17;MAML3;PLCL2;NFIA;CELF2;PDE4D;SPRED2;FARP1;CTTNBP2;ADGRL3;FOXP2;ZNF521;PDE4B;PHF21A;XKR4;EPB41L2;SSBP2;ZEB2;SYT17;SCMH1;RORA;ROBO1;PLK2;SGIP1;GRIN2A;GLS;SAMD12;FOXN3;SHANK3;MACROD2;RGS6;ATXN7L1;PRKN;SLC35D2;WDR27;SLC20A2;CPEB2;MCM9;BACE2;ZNF423;ITPR2;CAMKMT;HDAC4;DUSP6;NAALADL2;CAMTA1;FHIT;PURG;DENND1A	67	252
0	EFO_0005763	0.7851786015274673	1.1147801384613576	0.004	0.11709577523182173	1.0	14.53	ARL15;MECOM;ITGA9;PECAM1;CD34;LRCH1;NOX4;DLC1;INSR;COL15A1;PHACTR1;CRIM1;SLC12A2;LTBP1;XKR6;EBF1;PLPP3;NBEAL1;JCAD;GMDS;PDLIM5;RIN3;ATG7;SERPING1;FBN1;RALGAPA1;SPATS2L;FOXO3;BNC2;PPARG;ADK;SMG6;AFAP1	33	103
0	EFO_0004980	0.7810697237976695	1.122773095509624	0.0	0.11711547975570699	1.0	16.64	DGKH;ARL15;MECOM;DOCK9;ZSWIM6;CSGALNACT1;MEF2C;ERG;PLCL1;NFIB;GRK5;SOX5;FLT1;GRB10;PREX1;AUTS2;KLF7;LRMDA;ARHGAP26;FOXO1;MBNL1;NEDD4;DLC1;NR5A2;FOXP1;MAML3;CELF2;SSH2;SDCCAG8;SPRED2;SLC12A2;SASH1;ZBTB20;FOXP2;TSPAN9;ZNF521;LTBP1;EBF1;SUPT3H;EPB41L2;ETV6;DENND2A;SYT17;SCMH1;LATS2;CRMP1;GLS;UBASH3B;CMIP;RIN3;GNA12;CCDC146;L3MBTL3;IL16;RAD51B;COL4A2;ATRN;ADCY9;HDAC7;PTPRG;SLC20A2;KLHL29;RBPMS;ANKFN1;TGFBR3;PRKG1;ATP2B4;SPATS2L;ISM1;KDM4C;HIVEP3;DIS3L2;CHSY1;CAMTA1;SLC22A1;FOXO3;BNC2;PPARG;JAZF1;ST3GAL1;ZHX2;SMG6;CABLES1;SOCS5;CRADD;PRKCA;CALCRL;LARP7;GLI3;GULP1;CRISPLD1;KCNMB4	92	300
0	EFO_0009931	0.8012127005555103	1.1232815605494453	0.02	0.11719821202508182	1.0	9.04	MECOM;PLEKHG1;MEF2C;AUTS2;INSR;FGD5;PLPP3;CMIP;SOX6;ATG7;ADCY9	11	54
0	EFO_0004784, EFO_0008354	0.7957589766386128	1.1122608623005317	0.034	0.11741495301511633	1.0	14.91	MEF2C;PLCL1;PREX1;TANC2;AUTS2;DCC;FOXP1;MAML3;PDE4D;GTDC1;SCMH1;SLC35D2;FOXO3;PPARG;FSIP2;PRKD1	16	51
0	EFO_0007006	0.7923439964928521	1.111083627640463	0.039	0.11753562687354996	1.0	15.72	MEF2C;SOX5;DCC;MBNL1;MAML3;CELF2;CTTNBP2;TAOK3;GRM5;SGIP1;ASCC3;SOX6;MSRA;SYN2;GPC6;RBMS3;FHIT;SCAI;PRKD1;ASXL3	20	54
0	EFO_0003923	0.8143945573267966	1.114931916023224	0.09	0.11783707899859808	1.0	14.11	MEF2C;GRB10;TNFRSF11A;TCF7L1;SOX6;RPS6KA5;JAZF1;SMG6	8	26
0	EFO_0008579	0.7912107212656674	1.1192086205964265	0.008	0.11794734955352616	1.0	15.92	ARHGAP28;AKT3;CD34;AUTS2;PLXNA2;FOXP1;NFIA;RASGRF2;SDCCAG8;ZBTB20;FOXP2;STAG1;XKR6;MSRB3;EBF1;CDH13;ZEB2;SCMH1;GRIN2A;SAMD12;FOXN3;MACROD2;RGS6;TSHZ2;KLHL29;CDK19;CAMKMT;ATG10;HIVEP3;KIAA1328;ACVR2A;IPO11;GJA1;TBC1D32	34	90
0	EFO_0004190	0.8023585494525906	1.1112959821968071	0.063	0.11808018766993612	1.0	14.53	LPP;ETS1;CELF2;CTTNBP2;FOXC1;MEIS1;ABCA1;FMNL2;ANKH;SCFD2;AFAP1	11	36
0	EFO_0004833	0.7943412409293744	1.1234618884648147	0.008	0.11820054220432204	1.0	13.54	RP1;ERG;PREX2;ETS1;SETBP1;CD34;FOXP1;ADGRF5;SSH2;SPRED2;ZFPM2;TSPAN9;STXBP5;PDE4B;ATXN1;TSPAN15;ST8SIA4;DOCK8;PLPP3;LYST;MEIS1;ZEB2;LYN;JCAD;UBASH3B;CMIP;RIN3;GNA12;TBC1D8;RBPMS;ZNF423;HIVEP3;ACVRL1;CHSY1;VSIR;HLX;CPEB4	37	91
0	EFO_0009716	0.8275505701486476	1.1203978848460037	0.118	0.11833021312881312	1.0	13.69	GRB10;PREX2;AKT3;MSRB3;FOXO3;KATNAL1	6	18
