program_name	term	pval	adj_pval	enrichment	Combined Score	genes	overlap_numerator	overlap_denominator
0	Neuronal System R-HSA-112316	1.6005699382936835e-12	1.3108667794625268e-09	4.558044194341067	123.7994947292228	NBEA;NLGN4X;PPM1E;GNG4;GRIK4;DLGAP2;PTPRF;GABRA3;ADCY2;KCND2;CACNB2;GRIK5;CACNG8;PRKCA;SLC1A1;CACNB4;HCN1;PRKCB;NRXN3;SLC1A3;KCNN2;NLGN1;GRIA4;DLGAP1;CACNA2D3;GABRB3;SYT2;KCNQ2;SYT1;NLGN4Y;GNGT1;CACNA1A;ADCY5;SHANK2;CACNA1B;NRXN1;PRKAR1B;SYN3	38	386
0	Transmission Across Chemical Synapses R-HSA-112315	3.1960457479376304e-08	1.3087807337804596e-05	4.340579875969702	74.91305412870311	NBEA;PPM1E;GNG4;GRIK4;GABRA3;ADCY2;CACNB2;GRIK5;CACNG8;PRKCA;SLC1A1;CACNB4;PRKCB;SLC1A3;GRIA4;CACNA2D3;GABRB3;SYT1;GNGT1;ADCY5;CACNA1A;CACNA1B;PRKAR1B;SYN3	24	246
0	Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185	5.738172709147599e-07	0.00012800624930482188	9.850353243416826	141.55898156661866	GPC6;CHST9;VCAN;GPC4;GPC3;CHSY1;UST;DSE;CHST11;XYLT1	10	50
0	Integration Of Energy Metabolism R-HSA-163685	6.251831467878968e-07	0.00012800624930482188	6.083571268165923	86.90516122297413	CHRM3;CACNB2;FASN;GNA14;PRKAR1B;GNG4;GNGT1;ITPR2;ITPR3;ADCY5;CACNA1A;PRKCA;ADCY2;TKT	14	105
0	Neurexins And Neuroligins R-HSA-6794361	2.0488441629801197e-06	0.0003356006738961436	8.392759355034986	109.93033220530094	NRXN3;NLGN4X;SYT1;DLGAP2;NLGN1;SHANK2;DLGAP1;NRXN1;SYT2;NLGN4Y	10	57
0	Protein-protein Interactions At Synapses R-HSA-6794362	3.1565121232051368e-06	0.00043086390481750117	6.2335808109651625	78.95480196254493	NLGN4X;NRXN3;SYT1;DLGAP2;NLGN1;SHANK2;GRIA4;DLGAP1;PTPRF;NRXN1;SYT2;NLGN4Y	12	88
0	Cardiac Conduction R-HSA-5576891	5.716247184911391e-06	0.0005852008055553037	4.937377690802348	59.60500135296666	KCND2;ATP1A3;ATP1A2;CACNB2;KCNIP1;SCN8A;CACNG8;ITPR2;ITPR3;PRKCA;RYR1;CACNG7;RYR2;FGF13	14	126
0	Regulation Of Insulin Secretion R-HSA-422356	5.147840968458679e-06	0.0005852008055553037	6.578452902081121	80.1053812888979	CHRM3;CACNB2;GNA14;GNG4;GNGT1;ITPR2;ITPR3;ADCY5;CACNA1A;PRKCA;PRKAR1B	11	77
0	Presynaptic Depolarization And Calcium Channel Opening R-HSA-112308	8.49338417977649e-06	0.0007728979603596605	27.427221172022684	320.2463514789271	CACNB2;CACNA1A;CACNA2D3;CACNA1B;CACNB4	5	12
0	Non-integrin membrane-ECM Interactions R-HSA-3000171	9.683416184680411e-06	0.0007930717855253257	9.573385462743643	110.52565236753014	ITGA6;ITGB5;LAMC3;PRKCA;NRXN1;LAMA1;FGF13;DAG1	8	41
0	Glycosaminoglycan Metabolism R-HSA-1630316	1.6314501011283005e-05	0.0011489831857237017	4.794369645042839	52.85052385128684	HS6ST3;GPC6;CHST9;VCAN;GPC4;B4GALT6;GPC3;CHSY1;UST;DSE;HS3ST5;CHST11;XYLT1	13	120
0	Muscle Contraction R-HSA-397014	1.683491847214215e-05	0.0011489831857237017	3.7531923108745415	41.25529761328097	KCND2;ATP1A3;ATP1A2;CACNB2;VCL;KCNIP1;SCN8A;CACNG8;ITPR2;ITGB5;ITPR3;RYR1;CACNA1H;PRKCA;CACNG7;RYR2;FGF13	17	196
0	Repression Of WNT Target Genes R-HSA-4641265	2.0553753690659828e-05	0.0012948864825115692	21.648691672470402	233.6427898698683	TCF7L1;TCF7L2;MYC;TLE1;CTBP2	5	14
0	Ca2+ Pathway R-HSA-4086398	2.887486476134927e-05	0.00157656761596967	6.840416780915821	71.49972367623216	TCF7L1;TCF7L2;GNG4;GNGT1;ITPR2;ITPR3;PRKCA;GNAO1;MYC	9	61
0	PLC Beta Mediated Events R-HSA-112043	2.77756494549003e-05	0.00157656761596967	8.114262894208196	85.12957883110982	NBEA;GNA14;ITPR2;ITPR3;PRKCA;ADCY5;ADCY2;PRKAR1B	8	47
